[s],CH1[V]
8.2600E-02,1.68910E+00
8.2640E-02,1.69910E+00
8.2680E-02,1.67910E+00
8.2720E-02,1.69910E+00
8.2760E-02,1.69910E+00
8.2800E-02,1.68910E+00
8.2840E-02,1.69910E+00
8.2880E-02,1.70910E+00
8.2920E-02,1.70910E+00
8.2960E-02,1.68910E+00
8.3000E-02,1.68910E+00
8.3040E-02,1.69910E+00
8.3080E-02,1.68910E+00
8.3120E-02,1.68910E+00
8.3160E-02,1.67910E+00
8.3200E-02,1.67910E+00
8.3240E-02,1.68910E+00
8.3280E-02,1.69910E+00
8.3320E-02,1.67910E+00
8.3360E-02,1.67910E+00
8.3400E-02,1.67910E+00
8.3440E-02,1.67910E+00
8.3480E-02,1.65910E+00
8.3520E-02,1.67910E+00
8.3560E-02,1.67910E+00
8.3600E-02,1.67910E+00
8.3640E-02,1.67910E+00
8.3680E-02,1.67910E+00
8.3720E-02,1.67910E+00
8.3760E-02,1.66910E+00
8.3800E-02,1.67910E+00
8.3840E-02,1.65910E+00
8.3880E-02,1.66910E+00
8.3920E-02,1.65910E+00
8.3960E-02,1.67910E+00
8.4000E-02,1.66910E+00
8.4040E-02,1.64910E+00
8.4080E-02,1.66910E+00
8.4120E-02,1.65910E+00
8.4160E-02,1.64910E+00
8.4200E-02,1.64910E+00
8.4240E-02,1.65910E+00
8.4280E-02,1.65910E+00
8.4320E-02,1.64910E+00
8.4360E-02,1.63910E+00
8.4400E-02,1.64910E+00
8.4440E-02,1.63910E+00
8.4480E-02,1.64910E+00
8.4520E-02,1.64910E+00
8.4560E-02,1.63910E+00
8.4600E-02,1.64910E+00
8.4640E-02,1.63910E+00
8.4680E-02,1.63910E+00
8.4720E-02,1.63910E+00
8.4760E-02,1.64910E+00
8.4800E-02,1.63910E+00
8.4840E-02,1.63910E+00
8.4880E-02,1.63910E+00
8.4920E-02,1.64910E+00
8.4960E-02,1.63910E+00
8.5000E-02,1.63910E+00
8.5040E-02,1.63910E+00
8.5080E-02,1.63910E+00
8.5120E-02,1.63910E+00
8.5160E-02,1.63910E+00
8.5200E-02,1.63910E+00
8.5240E-02,1.62910E+00
8.5280E-02,1.61910E+00
8.5320E-02,1.62910E+00
8.5360E-02,1.61910E+00
8.5400E-02,1.63910E+00
8.5440E-02,1.62910E+00
8.5480E-02,1.62910E+00
8.5520E-02,1.63910E+00
8.5560E-02,1.62910E+00
8.5600E-02,1.61910E+00
8.5640E-02,1.62910E+00
8.5680E-02,1.60910E+00
8.5720E-02,1.61910E+00
8.5760E-02,1.61910E+00
8.5800E-02,1.61910E+00
8.5840E-02,1.61910E+00
8.5880E-02,1.61910E+00
8.5920E-02,1.62910E+00
8.5960E-02,1.61910E+00
8.6000E-02,1.61910E+00
8.6040E-02,1.59910E+00
8.6080E-02,1.62910E+00
8.6120E-02,1.61910E+00
8.6160E-02,1.60910E+00
8.6200E-02,1.60910E+00
8.6240E-02,1.59910E+00
8.6280E-02,1.60910E+00
8.6320E-02,1.59910E+00
8.6360E-02,1.58910E+00
8.6400E-02,1.60910E+00
8.6440E-02,1.59910E+00
8.6480E-02,1.59910E+00
8.6520E-02,1.58910E+00
8.6560E-02,1.58910E+00
8.6600E-02,1.57910E+00
8.6640E-02,1.58910E+00
8.6680E-02,1.59910E+00
8.6720E-02,1.59910E+00
8.6760E-02,1.59910E+00
8.6800E-02,1.58910E+00
8.6840E-02,1.57910E+00
8.6880E-02,1.59910E+00
8.6920E-02,1.59910E+00
8.6960E-02,1.58910E+00
8.7000E-02,1.57910E+00
8.7040E-02,1.57910E+00
8.7080E-02,1.58910E+00
8.7120E-02,1.58910E+00
8.7160E-02,1.56910E+00
8.7200E-02,1.56910E+00
8.7240E-02,1.58910E+00
8.7280E-02,1.55910E+00
8.7320E-02,1.58910E+00
8.7360E-02,1.57910E+00
8.7400E-02,1.57910E+00
8.7440E-02,1.57910E+00
8.7480E-02,1.57910E+00
8.7520E-02,1.56910E+00
8.7560E-02,1.56910E+00
8.7600E-02,1.56910E+00
8.7640E-02,1.56910E+00
8.7680E-02,1.55910E+00
8.7720E-02,1.56910E+00
8.7760E-02,1.56910E+00
8.7800E-02,1.55910E+00
8.7840E-02,1.56910E+00
8.7880E-02,1.55910E+00
8.7920E-02,1.55910E+00
8.7960E-02,1.56910E+00
8.8000E-02,1.55910E+00
8.8040E-02,1.55910E+00
8.8080E-02,1.56910E+00
8.8120E-02,1.55910E+00
8.8160E-02,1.55910E+00
8.8200E-02,1.55910E+00
8.8240E-02,1.54910E+00
8.8280E-02,1.56910E+00
8.8320E-02,1.55910E+00
8.8360E-02,1.55910E+00
8.8400E-02,1.54910E+00
8.8440E-02,1.54910E+00
8.8480E-02,1.53910E+00
8.8520E-02,1.52910E+00
8.8560E-02,1.52910E+00
8.8600E-02,1.53910E+00
8.8640E-02,1.54910E+00
8.8680E-02,1.51910E+00
8.8720E-02,1.53910E+00
8.8760E-02,1.54910E+00
8.8800E-02,1.54910E+00
8.8840E-02,1.52910E+00
8.8880E-02,1.52910E+00
8.8920E-02,1.53910E+00
8.8960E-02,1.53910E+00
8.9000E-02,1.53910E+00
8.9040E-02,1.53910E+00
8.9080E-02,1.53910E+00
8.9120E-02,1.51910E+00
8.9160E-02,1.51910E+00
8.9200E-02,1.53910E+00
8.9240E-02,1.52910E+00
8.9280E-02,1.51910E+00
8.9320E-02,1.53910E+00
8.9360E-02,1.51910E+00
8.9400E-02,1.52910E+00
8.9440E-02,1.51910E+00
8.9480E-02,1.51910E+00
8.9520E-02,1.51910E+00
8.9560E-02,1.51910E+00
8.9600E-02,1.51910E+00
8.9640E-02,1.51910E+00
8.9680E-02,1.51910E+00
8.9720E-02,1.51910E+00
8.9760E-02,1.51910E+00
8.9800E-02,1.51910E+00
8.9840E-02,1.51910E+00
8.9880E-02,1.51910E+00
8.9920E-02,1.51910E+00
8.9960E-02,1.51910E+00
9.0000E-02,1.50910E+00
9.0040E-02,1.50910E+00
9.0080E-02,1.51910E+00
9.0120E-02,1.49910E+00
9.0160E-02,1.51910E+00
9.0200E-02,1.50910E+00
9.0240E-02,1.49910E+00
9.0280E-02,1.49910E+00
9.0320E-02,1.50910E+00
9.0360E-02,1.49910E+00
9.0400E-02,1.49910E+00
9.0440E-02,1.50910E+00
9.0480E-02,1.49910E+00
9.0520E-02,1.50910E+00
9.0560E-02,1.50910E+00
9.0600E-02,1.49910E+00
9.0640E-02,1.50910E+00
9.0680E-02,1.49910E+00
9.0720E-02,1.50910E+00
9.0760E-02,1.49910E+00
9.0800E-02,1.49910E+00
9.0840E-02,1.48910E+00
9.0880E-02,1.49910E+00
9.0920E-02,1.51910E+00
9.0960E-02,1.48910E+00
9.1000E-02,1.48910E+00
9.1040E-02,1.46910E+00
9.1080E-02,1.47910E+00
9.1120E-02,1.47910E+00
9.1160E-02,1.48910E+00
9.1200E-02,1.48910E+00
9.1240E-02,1.48910E+00
9.1280E-02,1.48910E+00
9.1320E-02,1.48910E+00
9.1360E-02,1.47910E+00
9.1400E-02,1.47910E+00
9.1440E-02,1.48910E+00
9.1480E-02,1.47910E+00
9.1520E-02,1.48910E+00
9.1560E-02,1.47910E+00
9.1600E-02,1.46910E+00
9.1640E-02,1.47910E+00
9.1680E-02,1.47910E+00
9.1720E-02,1.46910E+00
9.1760E-02,1.47910E+00
9.1800E-02,1.47910E+00
9.1840E-02,1.47910E+00
9.1880E-02,1.46910E+00
9.1920E-02,1.47910E+00
9.1960E-02,1.47910E+00
9.2000E-02,1.46910E+00
9.2040E-02,1.46910E+00
9.2080E-02,1.46910E+00
9.2120E-02,1.46910E+00
9.2160E-02,1.46910E+00
9.2200E-02,1.47910E+00
9.2240E-02,1.46910E+00
9.2280E-02,1.45910E+00
9.2320E-02,1.46910E+00
9.2360E-02,1.46910E+00
9.2400E-02,1.45910E+00
9.2440E-02,1.45910E+00
9.2480E-02,1.44910E+00
9.2520E-02,1.45910E+00
9.2560E-02,1.44910E+00
9.2600E-02,1.45910E+00
9.2640E-02,1.43910E+00
9.2680E-02,1.44910E+00
9.2720E-02,1.44910E+00
9.2760E-02,1.44910E+00
9.2800E-02,1.45910E+00
9.2840E-02,1.44910E+00
9.2880E-02,1.44910E+00
9.2920E-02,1.43910E+00
9.2960E-02,1.43910E+00
9.3000E-02,1.45910E+00
9.3040E-02,1.44910E+00
9.3080E-02,1.43910E+00
9.3120E-02,1.46910E+00
9.3160E-02,1.43910E+00
9.3200E-02,1.44910E+00
9.3240E-02,1.44910E+00
9.3280E-02,1.43910E+00
9.3320E-02,1.43910E+00
9.3360E-02,1.44910E+00
9.3400E-02,1.43910E+00
9.3440E-02,1.44910E+00
9.3480E-02,1.44910E+00
9.3520E-02,1.43910E+00
9.3560E-02,1.43910E+00
9.3600E-02,1.43910E+00
9.3640E-02,1.43910E+00
9.3680E-02,1.43910E+00
9.3720E-02,1.42910E+00
9.3760E-02,1.42910E+00
9.3800E-02,1.43910E+00
9.3840E-02,1.43910E+00
9.3880E-02,1.43910E+00
9.3920E-02,1.43910E+00
9.3960E-02,1.43910E+00
9.4000E-02,1.43910E+00
9.4040E-02,1.41910E+00
9.4080E-02,1.43910E+00
9.4120E-02,1.41910E+00
9.4160E-02,1.43910E+00
9.4200E-02,1.41910E+00
9.4240E-02,1.43910E+00
9.4280E-02,1.42910E+00
9.4320E-02,1.42910E+00
9.4360E-02,1.42910E+00
9.4400E-02,1.43910E+00
9.4440E-02,1.43910E+00
9.4480E-02,1.43910E+00
9.4520E-02,1.41910E+00
9.4560E-02,1.41910E+00
9.4600E-02,1.41910E+00
9.4640E-02,1.41910E+00
9.4680E-02,1.41910E+00
9.4720E-02,1.41910E+00
9.4760E-02,1.42910E+00
9.4800E-02,1.41910E+00
9.4840E-02,1.41910E+00
9.4880E-02,1.42910E+00
9.4920E-02,1.42910E+00
9.4960E-02,1.40910E+00
9.5000E-02,1.41910E+00
9.5040E-02,1.41910E+00
9.5080E-02,1.40910E+00
9.5120E-02,1.41910E+00
9.5160E-02,1.41910E+00
9.5200E-02,1.39910E+00
9.5240E-02,1.40910E+00
9.5280E-02,1.39910E+00
9.5320E-02,1.40910E+00
9.5360E-02,1.38910E+00
9.5400E-02,1.39910E+00
9.5440E-02,1.40910E+00
9.5480E-02,1.39910E+00
9.5520E-02,1.39910E+00
9.5560E-02,1.40910E+00
9.5600E-02,1.40910E+00
9.5640E-02,1.39910E+00
9.5680E-02,1.41910E+00
9.5720E-02,1.40910E+00
9.5760E-02,1.39910E+00
9.5800E-02,1.40910E+00
9.5840E-02,1.38910E+00
9.5880E-02,1.41910E+00
9.5920E-02,1.38910E+00
9.5960E-02,1.39910E+00
9.6000E-02,1.38910E+00
9.6040E-02,1.39910E+00
9.6080E-02,1.37910E+00
9.6120E-02,1.37910E+00
9.6160E-02,1.38910E+00
9.6200E-02,1.39910E+00
9.6240E-02,1.38910E+00
9.6280E-02,1.38910E+00
9.6320E-02,1.39910E+00
9.6360E-02,1.37910E+00
9.6400E-02,1.38910E+00
9.6440E-02,1.39910E+00
9.6480E-02,1.37910E+00
9.6520E-02,1.38910E+00
9.6560E-02,1.38910E+00
9.6600E-02,1.39910E+00
9.6640E-02,1.38910E+00
9.6680E-02,1.38910E+00
9.6720E-02,1.37910E+00
9.6760E-02,1.37910E+00
9.6800E-02,1.36910E+00
9.6840E-02,1.37910E+00
9.6880E-02,1.38910E+00
9.6920E-02,1.37910E+00
9.6960E-02,1.37910E+00
9.7000E-02,1.38910E+00
9.7040E-02,1.37910E+00
9.7080E-02,1.36910E+00
9.7120E-02,1.37910E+00
9.7160E-02,1.37910E+00
9.7200E-02,1.37910E+00
9.7240E-02,1.37910E+00
9.7280E-02,1.36910E+00
9.7320E-02,1.36910E+00
9.7360E-02,1.37910E+00
9.7400E-02,1.36910E+00
9.7440E-02,1.36910E+00
9.7480E-02,1.37910E+00
9.7520E-02,1.36910E+00
9.7560E-02,1.36910E+00
9.7600E-02,1.36910E+00
9.7640E-02,1.36910E+00
9.7680E-02,1.34910E+00
9.7720E-02,1.35910E+00
9.7760E-02,1.35910E+00
9.7800E-02,1.36910E+00
9.7840E-02,1.36910E+00
9.7880E-02,1.34910E+00
9.7920E-02,1.35910E+00
9.7960E-02,1.35910E+00
9.8000E-02,1.34910E+00
9.8040E-02,1.36910E+00
9.8080E-02,1.35910E+00
9.8120E-02,1.35910E+00
9.8160E-02,1.34910E+00
9.8200E-02,1.34910E+00
9.8240E-02,1.34910E+00
9.8280E-02,1.35910E+00
9.8320E-02,1.35910E+00
9.8360E-02,1.34910E+00
9.8400E-02,1.34910E+00
9.8440E-02,1.34910E+00
9.8480E-02,1.34910E+00
9.8520E-02,1.35910E+00
9.8560E-02,1.33910E+00
9.8600E-02,1.33910E+00
9.8640E-02,1.33910E+00
9.8680E-02,1.32910E+00
9.8720E-02,1.33910E+00
9.8760E-02,1.33910E+00
9.8800E-02,1.34910E+00
9.8840E-02,1.34910E+00
9.8880E-02,1.33910E+00
9.8920E-02,1.34910E+00
9.8960E-02,1.33910E+00
9.9000E-02,1.34910E+00
9.9040E-02,1.32910E+00
9.9080E-02,1.33910E+00
9.9120E-02,1.33910E+00
9.9160E-02,1.34910E+00
9.9200E-02,1.32910E+00
9.9240E-02,1.32910E+00
9.9280E-02,1.32910E+00
9.9320E-02,1.33910E+00
9.9360E-02,1.33910E+00
9.9400E-02,1.34910E+00
9.9440E-02,1.31910E+00
9.9480E-02,1.33910E+00
9.9520E-02,1.33910E+00
9.9560E-02,1.32910E+00
9.9600E-02,1.32910E+00
9.9640E-02,1.31910E+00
9.9680E-02,1.32910E+00
9.9720E-02,1.33910E+00
9.9760E-02,1.31910E+00
9.9800E-02,1.31910E+00
9.9840E-02,1.31910E+00
9.9880E-02,1.31910E+00
9.9920E-02,1.31910E+00
9.9960E-02,1.31910E+00
1.0000E-01,1.32910E+00
1.0004E-01,1.32910E+00
1.0008E-01,1.32910E+00
1.0012E-01,1.32910E+00
1.0016E-01,1.32910E+00
1.0020E-01,1.31910E+00
1.0024E-01,1.31910E+00
1.0028E-01,1.31910E+00
1.0032E-01,1.32910E+00
1.0036E-01,1.30910E+00
1.0040E-01,1.31910E+00
1.0044E-01,1.30910E+00
1.0048E-01,1.31910E+00
1.0052E-01,1.31910E+00
1.0056E-01,1.31910E+00
1.0060E-01,1.30910E+00
1.0064E-01,1.30910E+00
1.0068E-01,1.32910E+00
1.0072E-01,1.29910E+00
1.0076E-01,1.29910E+00
1.0080E-01,1.31910E+00
1.0084E-01,1.30910E+00
1.0088E-01,1.31910E+00
1.0092E-01,1.31910E+00
1.0096E-01,1.30910E+00
1.0100E-01,1.29910E+00
1.0104E-01,1.29910E+00
1.0108E-01,1.29910E+00
1.0112E-01,1.30910E+00
1.0116E-01,1.29910E+00
1.0120E-01,1.30910E+00
1.0124E-01,1.29910E+00
1.0128E-01,1.30910E+00
1.0132E-01,1.31910E+00
1.0136E-01,1.30910E+00
1.0140E-01,1.30910E+00
1.0144E-01,1.29910E+00
1.0148E-01,1.29910E+00
1.0152E-01,1.29910E+00
1.0156E-01,1.29910E+00
1.0160E-01,1.31910E+00
1.0164E-01,1.28910E+00
1.0168E-01,1.29910E+00
1.0172E-01,1.29910E+00
1.0176E-01,1.29910E+00
1.0180E-01,1.29910E+00
1.0184E-01,1.28910E+00
1.0188E-01,1.28910E+00
1.0192E-01,1.29910E+00
1.0196E-01,1.28910E+00
1.0200E-01,1.29910E+00
1.0204E-01,1.29910E+00
1.0208E-01,1.28910E+00
1.0212E-01,1.28910E+00
1.0216E-01,1.28910E+00
1.0220E-01,1.27910E+00
1.0224E-01,1.29910E+00
1.0228E-01,1.29910E+00
1.0232E-01,1.28910E+00
1.0236E-01,1.27910E+00
1.0240E-01,1.27910E+00
1.0244E-01,1.27910E+00
1.0248E-01,1.27910E+00
1.0252E-01,1.27910E+00
1.0256E-01,1.28910E+00
1.0260E-01,1.29910E+00
1.0264E-01,1.29910E+00
1.0268E-01,1.29910E+00
1.0272E-01,1.27910E+00
1.0276E-01,1.28910E+00
1.0280E-01,1.27910E+00
1.0284E-01,1.28910E+00
1.0288E-01,1.27910E+00
1.0292E-01,1.27910E+00
1.0296E-01,1.27910E+00
1.0300E-01,1.27910E+00
1.0304E-01,1.27910E+00
1.0308E-01,1.27910E+00
1.0312E-01,1.27910E+00
1.0316E-01,1.27910E+00
1.0320E-01,1.26910E+00
1.0324E-01,1.28910E+00
1.0328E-01,1.27910E+00
1.0332E-01,1.26910E+00
1.0336E-01,1.27910E+00
1.0340E-01,1.26910E+00
1.0344E-01,1.26910E+00
1.0348E-01,1.26910E+00
1.0352E-01,1.27910E+00
1.0356E-01,1.27910E+00
1.0360E-01,1.27910E+00
1.0364E-01,1.25910E+00
1.0368E-01,1.26910E+00
1.0372E-01,1.26910E+00
1.0376E-01,1.25910E+00
1.0380E-01,1.26910E+00
1.0384E-01,1.27910E+00
1.0388E-01,1.26910E+00
1.0392E-01,1.26910E+00
1.0396E-01,1.26910E+00
1.0400E-01,1.27910E+00
1.0404E-01,1.25910E+00
1.0408E-01,1.26910E+00
1.0412E-01,1.25910E+00
1.0416E-01,1.25910E+00
1.0420E-01,1.27910E+00
1.0424E-01,1.24910E+00
1.0428E-01,1.25910E+00
1.0432E-01,1.25910E+00
1.0436E-01,1.26910E+00
1.0440E-01,1.25910E+00
1.0444E-01,1.26910E+00
1.0448E-01,1.25910E+00
1.0452E-01,1.26910E+00
1.0456E-01,1.26910E+00
1.0460E-01,1.26910E+00
1.0464E-01,1.25910E+00
1.0468E-01,1.25910E+00
1.0472E-01,1.25910E+00
1.0476E-01,1.24910E+00
1.0480E-01,1.23910E+00
1.0484E-01,1.23910E+00
1.0488E-01,1.24910E+00
1.0492E-01,1.25910E+00
1.0496E-01,1.24910E+00
1.0500E-01,1.24910E+00
1.0504E-01,1.25910E+00
1.0508E-01,1.25910E+00
1.0512E-01,1.25910E+00
1.0516E-01,1.23910E+00
1.0520E-01,1.24910E+00
1.0524E-01,1.24910E+00
1.0528E-01,1.26910E+00
1.0532E-01,1.25910E+00
1.0536E-01,1.23910E+00
1.0540E-01,1.24910E+00
1.0544E-01,1.25910E+00
1.0548E-01,1.24910E+00
1.0552E-01,1.24910E+00
1.0556E-01,1.23910E+00
1.0560E-01,1.23910E+00
1.0564E-01,1.24910E+00
1.0568E-01,1.26910E+00
1.0572E-01,1.24910E+00
1.0576E-01,1.24910E+00
1.0580E-01,1.24910E+00
1.0584E-01,1.27910E+00
1.0588E-01,1.25910E+00
1.0592E-01,1.23910E+00
1.0596E-01,1.23910E+00
1.0600E-01,1.23910E+00
1.0604E-01,1.23910E+00
1.0608E-01,1.24910E+00
1.0612E-01,1.23910E+00
1.0616E-01,1.23910E+00
1.0620E-01,1.23910E+00
1.0624E-01,1.23910E+00
1.0628E-01,1.23910E+00
1.0632E-01,1.23910E+00
1.0636E-01,1.24910E+00
1.0640E-01,1.24910E+00
1.0644E-01,1.23910E+00
1.0648E-01,1.23910E+00
1.0652E-01,1.23910E+00
1.0656E-01,1.23910E+00
1.0660E-01,1.23910E+00
1.0664E-01,1.23910E+00
1.0668E-01,1.22910E+00
1.0672E-01,1.23910E+00
1.0676E-01,1.23910E+00
1.0680E-01,1.23910E+00
1.0684E-01,1.22910E+00
1.0688E-01,1.23910E+00
1.0692E-01,1.23910E+00
1.0696E-01,1.23910E+00
1.0700E-01,1.24910E+00
1.0704E-01,1.22910E+00
1.0708E-01,1.24910E+00
1.0712E-01,1.23910E+00
1.0716E-01,1.23910E+00
1.0720E-01,1.23910E+00
1.0724E-01,1.23910E+00
1.0728E-01,1.23910E+00
1.0732E-01,1.23910E+00
1.0736E-01,1.22910E+00
1.0740E-01,1.23910E+00
1.0744E-01,1.23910E+00
1.0748E-01,1.21910E+00
1.0752E-01,1.22910E+00
1.0756E-01,1.23910E+00
1.0760E-01,1.22910E+00
1.0764E-01,1.22910E+00
1.0768E-01,1.23910E+00
1.0772E-01,1.23910E+00
1.0776E-01,1.22910E+00
1.0780E-01,1.22910E+00
1.0784E-01,1.22910E+00
1.0788E-01,1.21910E+00
1.0792E-01,1.21910E+00
1.0796E-01,1.21910E+00
1.0800E-01,1.20910E+00
1.0804E-01,1.21910E+00
1.0808E-01,1.21910E+00
1.0812E-01,1.21910E+00
1.0816E-01,1.21910E+00
1.0820E-01,1.22910E+00
1.0824E-01,1.22910E+00
1.0828E-01,1.22910E+00
1.0832E-01,1.21910E+00
1.0836E-01,1.20910E+00
1.0840E-01,1.22910E+00
1.0844E-01,1.21910E+00
1.0848E-01,1.21910E+00
1.0852E-01,1.23910E+00
1.0856E-01,1.22910E+00
1.0860E-01,1.21910E+00
1.0864E-01,1.20910E+00
1.0868E-01,1.21910E+00
1.0872E-01,1.20910E+00
1.0876E-01,1.21910E+00
1.0880E-01,1.22910E+00
1.0884E-01,1.21910E+00
1.0888E-01,1.21910E+00
1.0892E-01,1.21910E+00
1.0896E-01,1.21910E+00
1.0900E-01,1.20910E+00
1.0904E-01,1.20910E+00
1.0908E-01,1.21910E+00
1.0912E-01,1.21910E+00
1.0916E-01,1.21910E+00
1.0920E-01,1.19910E+00
1.0924E-01,1.19910E+00
1.0928E-01,1.21910E+00
1.0932E-01,1.20910E+00
1.0936E-01,1.21910E+00
1.0940E-01,1.20910E+00
1.0944E-01,1.20910E+00
1.0948E-01,1.19910E+00
1.0952E-01,1.21910E+00
1.0956E-01,1.22910E+00
1.0960E-01,1.21910E+00
1.0964E-01,1.21910E+00
1.0968E-01,1.21910E+00
1.0972E-01,1.21910E+00
1.0976E-01,1.19910E+00
1.0980E-01,1.22910E+00
1.0984E-01,1.21910E+00
1.0988E-01,1.19910E+00
1.0992E-01,1.19910E+00
1.0996E-01,1.19910E+00
1.1000E-01,1.19910E+00
1.1004E-01,1.19910E+00
1.1008E-01,1.22910E+00
1.1012E-01,1.19910E+00
1.1016E-01,1.20910E+00
1.1020E-01,1.19910E+00
1.1024E-01,1.20910E+00
1.1028E-01,1.20910E+00
1.1032E-01,1.20910E+00
1.1036E-01,1.18910E+00
1.1040E-01,1.19910E+00
1.1044E-01,1.21910E+00
1.1048E-01,1.21910E+00
1.1052E-01,1.19910E+00
1.1056E-01,1.18910E+00
1.1060E-01,1.20910E+00
1.1064E-01,1.18910E+00
1.1068E-01,1.19910E+00
1.1072E-01,1.19910E+00
1.1076E-01,1.22910E+00
1.1080E-01,1.19910E+00
1.1084E-01,1.20910E+00
1.1088E-01,1.19910E+00
1.1092E-01,1.19910E+00
1.1096E-01,1.18910E+00
1.1100E-01,1.19910E+00
1.1104E-01,1.21910E+00
1.1108E-01,1.19910E+00
1.1112E-01,1.19910E+00
1.1116E-01,1.19910E+00
1.1120E-01,1.19910E+00
1.1124E-01,1.19910E+00
1.1128E-01,1.18910E+00
1.1132E-01,1.19910E+00
1.1136E-01,1.18910E+00
1.1140E-01,1.18910E+00
1.1144E-01,1.19910E+00
1.1148E-01,1.20910E+00
1.1152E-01,1.19910E+00
1.1156E-01,1.20910E+00
1.1160E-01,1.19910E+00
1.1164E-01,1.18910E+00
1.1168E-01,1.19910E+00
1.1172E-01,1.18910E+00
1.1176E-01,1.19910E+00
1.1180E-01,1.19910E+00
1.1184E-01,1.17910E+00
1.1188E-01,1.17910E+00
1.1192E-01,1.18910E+00
1.1196E-01,1.19910E+00
1.1200E-01,1.18910E+00
1.1204E-01,1.18910E+00
1.1208E-01,1.17910E+00
1.1212E-01,1.19910E+00
1.1216E-01,1.19910E+00
1.1220E-01,1.18910E+00
1.1224E-01,1.19910E+00
1.1228E-01,1.16910E+00
1.1232E-01,1.17910E+00
1.1236E-01,1.18910E+00
1.1240E-01,1.18910E+00
1.1244E-01,1.18910E+00
1.1248E-01,1.18910E+00
1.1252E-01,1.16910E+00
1.1256E-01,1.19910E+00
1.1260E-01,1.17910E+00
1.1264E-01,1.18910E+00
1.1268E-01,1.16910E+00
1.1272E-01,1.18910E+00
1.1276E-01,1.18910E+00
1.1280E-01,1.19910E+00
1.1284E-01,1.18910E+00
1.1288E-01,1.16910E+00
1.1292E-01,1.18910E+00
1.1296E-01,1.17910E+00
1.1300E-01,1.17910E+00
1.1304E-01,1.18910E+00
1.1308E-01,1.19910E+00
1.1312E-01,1.17910E+00
1.1316E-01,1.17910E+00
1.1320E-01,1.17910E+00
1.1324E-01,1.17910E+00
1.1328E-01,1.18910E+00
1.1332E-01,1.17910E+00
1.1336E-01,1.16910E+00
1.1340E-01,1.19910E+00
1.1344E-01,1.17910E+00
1.1348E-01,1.17910E+00
1.1352E-01,1.18910E+00
1.1356E-01,1.17910E+00
1.1360E-01,1.17910E+00
1.1364E-01,1.16910E+00
1.1368E-01,1.17910E+00
1.1372E-01,1.17910E+00
1.1376E-01,1.17910E+00
1.1380E-01,1.17910E+00
1.1384E-01,1.17910E+00
1.1388E-01,1.16910E+00
1.1392E-01,1.17910E+00
1.1396E-01,1.18910E+00
1.1400E-01,1.17910E+00
1.1404E-01,1.15910E+00
1.1408E-01,1.16910E+00
1.1412E-01,1.17910E+00
1.1416E-01,1.18910E+00
1.1420E-01,1.17910E+00
1.1424E-01,1.16910E+00
1.1428E-01,1.17910E+00
1.1432E-01,1.15910E+00
1.1436E-01,1.17910E+00
1.1440E-01,1.15910E+00
1.1444E-01,1.15910E+00
1.1448E-01,1.15910E+00
1.1452E-01,1.17910E+00
1.1456E-01,1.17910E+00
1.1460E-01,1.17910E+00
1.1464E-01,1.16910E+00
1.1468E-01,1.16910E+00
1.1472E-01,1.17910E+00
1.1476E-01,1.16910E+00
1.1480E-01,1.15910E+00
1.1484E-01,1.16910E+00
1.1488E-01,1.15910E+00
1.1492E-01,1.15910E+00
1.1496E-01,1.15910E+00
1.1500E-01,1.15910E+00
1.1504E-01,1.15910E+00
1.1508E-01,1.16910E+00
1.1512E-01,1.15910E+00
1.1516E-01,1.15910E+00
1.1520E-01,1.17910E+00
1.1524E-01,1.16910E+00
1.1528E-01,1.17910E+00
1.1532E-01,1.16910E+00
1.1536E-01,1.15910E+00
1.1540E-01,1.17910E+00
1.1544E-01,1.15910E+00
1.1548E-01,1.16910E+00
1.1552E-01,1.16910E+00
1.1556E-01,1.15910E+00
1.1560E-01,1.15910E+00
1.1564E-01,1.15910E+00
1.1568E-01,1.15910E+00
1.1572E-01,1.15910E+00
1.1576E-01,1.15910E+00
1.1580E-01,1.15910E+00
1.1584E-01,1.17910E+00
1.1588E-01,1.15910E+00
1.1592E-01,1.16910E+00
1.1596E-01,1.16910E+00
1.1600E-01,1.16910E+00
1.1604E-01,1.16910E+00
1.1608E-01,1.14910E+00
1.1612E-01,1.15910E+00
1.1616E-01,1.14910E+00
1.1620E-01,1.14910E+00
1.1624E-01,1.15910E+00
1.1628E-01,1.15910E+00
1.1632E-01,1.15910E+00
1.1636E-01,1.14910E+00
1.1640E-01,1.15910E+00
1.1644E-01,1.15910E+00
1.1648E-01,1.14910E+00
1.1652E-01,1.16910E+00
1.1656E-01,1.15910E+00
1.1660E-01,1.15910E+00
1.1664E-01,1.14910E+00
1.1668E-01,1.15910E+00
1.1672E-01,1.15910E+00
1.1676E-01,1.13910E+00
1.1680E-01,1.15910E+00
1.1684E-01,1.14910E+00
1.1688E-01,1.15910E+00
1.1692E-01,1.14910E+00
1.1696E-01,1.13910E+00
1.1700E-01,1.15910E+00
1.1704E-01,1.15910E+00
1.1708E-01,1.15910E+00
1.1712E-01,1.16910E+00
1.1716E-01,1.15910E+00
1.1720E-01,1.15910E+00
1.1724E-01,1.14910E+00
1.1728E-01,1.14910E+00
1.1732E-01,1.14910E+00
1.1736E-01,1.14910E+00
1.1740E-01,1.13910E+00
1.1744E-01,1.14910E+00
1.1748E-01,1.14910E+00
1.1752E-01,1.14910E+00
